English,Deutsch
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent und die Grenadinen
Samoa,Samoa
San Marino,San Marino
Sao Tome and Príncipe,São Tomé und Príncipe
Saudi Arabia,Saudi-Arabien
Senegal,Senegal
Serbia,Serbien
Seychelles,Seychellen
Sierra Leone,Sierra Leone
Singapore,Singapur
Slovakia (Slovak Republic),Slowakei (vormals Teil der Tschechoslowakei)
Slovenia,Slowenien
Solomon Islands,Salomonen
Somalia,Somalia
South Africa,Südafrika
South Georgia and South Sandwich Islands,Südgeorgien und die südlichen Sandwichinseln
Spain,Spanien
Sri Lanka,Sri Lanka (vormals Ceylon)
Saint Helena,St. Helena
St. Pierre and Miquelon,St. Pierre und Miquelon
Sudan,Sudan
Suriname,Suriname
Svalbard and Jan Mayen Islands,Svalbard und Jan Mayen
Swaziland,Swasiland
Sweden,Schweden
Switzerland,Schweiz
Syria,Syrien
Taiwan,Taiwan
Tajikistan,Tadschikistan
Tanzania,Tansania
Thailand,Thailand
Tibet,Tibet
Timor-Leste (East Timor),Timor-Leste (Osttimor)
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinidad und Tobago
Tunisia,Tunesien
Turkey,Türkei
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks- und Caicosinseln
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,Vereinigte Arabische Emirate
United Kingdom,Vereinigtes Königreich (England)
United States,Vereinigte Staaten (USA)
U.S. Minor Outlying Islands,Kleinere Amerikanische Überseeinseln
Uruguay,Uruguay
Uzbekistan,Usbekistan
Vanuatu,Vanuatu
Vatican City State (Holy See),Vatikan
Venezuela,Venezuela
Vietnam,Vietnam
Virgin Islands (British),Britische Jungferninseln
Virgin Islands (U.S.),Amerikanische Jungferninseln
Wallis and Futuna Islands,Wallis und Futuna
Western Sahara,Westsahara
Yemen,Jemen
Zaire,Zaire
Zambia,Sambia (vormals Nordrhodesien)
Zimbabwe,Simbabwe (vormals Südrhodesien)
